platform,packet_size,num_requests,time
fpga_linux,64,1446694,29.999879
fpga_linux,128,1458922,29.999879
fpga_linux,192,1449189,29.999872
fpga_linux,256,1459537,29.999362
fpga_linux,320,1396693,29.999917
fpga_linux,384,1352602,29.999840
fpga_linux,448,1338806,29.999852
fpga_linux,512,1446916,29.999872
fpga_linux,768,1090198,29.999875
fpga_linux,1024,1086863,29.999811
fpga_linux,2048,1024000,28.748330
fpga_linux,3072,1024000,29.694623
fpga_linux,4096,1024000,30.686583
fpga_linux,6144,1024000,36.102649
fpga_linux,8192,1024000,42.776088
cpu_linux,64,618439,29.999828
cpu_linux,128,598156,29.999816
cpu_linux,192,583971,29.999850
cpu_linux,256,570374,29.999801
cpu_linux,320,562551,29.999810
cpu_linux,384,568847,29.999841
cpu_linux,448,565686,29.999724
cpu_linux,512,542534,29.999794
cpu_linux,768,520797,29.999841
cpu_linux,1024,487075,29.999292
fpga_demi,64,10240000,54.972626393
fpga_demi,128,10240000,55.754297530
fpga_demi,192,10240000,56.621054514
fpga_demi,256,10240000,57.310625311
fpga_demi,320,10240000,58.440107607
fpga_demi,384,10240000,59.122369174
fpga_demi,448,10240000,59.820937315
fpga_demi,512,10240000,61.31415951
fpga_demi,768,10240000,64.118080872
fpga_demi,1024,10240000,68.960968806
fpga_demi,2048,10240000,81.467137672
fpga_demi,3072,10240000,96.13798130
fpga_demi,4096,10240000,110.290272703
fpga_demi,6144,10240000,139.928164397
fpga_demi,8192,10240000,169.797719065
cpu_demi,64,10240000,67.760361547
cpu_demi,128,10240000,68.770642412
cpu_demi,192,10240000,69.709707451
cpu_demi,256,10240000,70.284917755
cpu_demi,320,10240000,70.807485697
cpu_demi,384,10240000,71.411856177
cpu_demi,448,10240000,72.467964226
cpu_demi,512,10240000,72.693552106
cpu_demi,768,10240000,75.106946108
cpu_demi,1024,10240000,78.178589993
cpu_demi,2048,10240000,85.191501526
cpu_demi,3072,10240000,95.290156154
cpu_demi,4096,10240000,104.785304305
cpu_demi,6144,10240000,124.972853203
cpu_demi,8192,10240000,146.21658300
