buf_size,time,bytes,server,bw_gbps,client_libos,client_dir,client_copy,server_copy
8192,77.844011085,205520891328,fpga,21.12130538634101,catnap,recv,copy,copy
6144,55.75130492,154140670731,fpga,22.1183229274627,catnap,recv,copy,copy
128,18.765008818,6422534652,fpga,2.738089692061023,catnap,recv,copy,copy
3072,51.541824412,154140664250,fpga,23.9247509778273,catnap,recv,copy,copy
2048,40.986721843,102760442816,fpga,20.057313821705435,catnap,recv,copy,copy
64,18.817171188,3211264446,fpga,1.365248544073563,catnap,recv,copy,copy
256,18.817167724,12845056001,fpga,5.460994423562273,catnap,recv,copy,copy
1024,20.087171607,51380223895,fpga,20.462900362575674,catnap,recv,copy,copy
4096,69.366193559,205520902138,fpga,23.702716449411916,catnap,recv,copy,copy
512,17.851426776,25690111488,fpga,11.512855217842224,catnap,recv,copy,copy
2048,40.320753629,51380224000,fpga,10.194298345266178,catnap,send,copy,copy
2048,43.297643163000004,51380224000,catnap,9.493398761973625,catnap,send,copy,copy
1024,36.45041609,25690112000,fpga,5.638368996736466,catnap,send,copy,copy
1024,31.79136835,25690112000,catnap,6.46467600064783,catnap,send,copy,copy
128,70.537042967,6422528000,fpga,0.7284147710024885,catnap,send,copy,copy
128,39.317094858,6422528000,catnap,1.3068163908235826,catnap,send,copy,copy
64,74.192739826,3211264000,fpga,0.34626180486459396,catnap,send,copy,copy
64,59.483347755,3211264000,catnap,0.43188746043367343,catnap,send,copy,copy
256,73.980219902,12845056000,fpga,1.3890259874345405,catnap,send,copy,copy
256,43.755027056,12845056000,catnap,2.348540382993747,catnap,send,copy,copy
512,72.167578217,25690112000,fpga,2.8478286382566584,catnap,send,copy,copy
512,51.038525292,25690112000,catnap,4.026779669361141,catnap,send,copy,copy
3072,24.205453018,38535168000,fpga,12.7360286862118,catnap,send,copy,copy
3072,25.577240435,38535168000,catnap,12.052955626055208,catnap,send,copy,copy
8192,45.515541926,102760448000,fpga,18.06160158076462,catnap,send,copy,copy
8192,49.705227863,102760448000,catnap,16.539177453644662,catnap,send,copy,copy
4096,37.434801344,51380224000,fpga,10.980204976188054,catnap,send,copy,copy
4096,29.323947707,51380224000,catnap,14.017273393987097,catnap,send,copy,copy
6144,42.283376716,77070336000,fpga,14.581680458994496,catnap,send,copy,copy
6144,38.672473666,77070336000,catnap,15.943192393768918,catnap,send,copy,copy
